11,COMINVI S.A. DE C.V.,"BLVD. PASEO DE LOS INSURGENTE, PISO 7",3356,,CUMBRES DEL CAMPESTRE.,,MEXICO.,GUANAJUATO,LEÓN,Lic. Jorge A. Rivera Gómez.,,jorge.rivera@cominvi.com,jmalba@cominvi.com,01 447 104 95 66 EXT. 119,,D:\Practicante\Desktop\Imagenes Contratos\11_Logo.jpg,0
12,GRUPO MINERO DUMAS MEXICO SA DE CV,CARRETERA FEDERAL 45.,15999,,NO ESPECIFICADA.,,MEXICO.,CHIHUAHUA.,CHI.,Ing. Adrian Ibarra.,52 614 414 5504,aibarra@dumasmining.com,cfimbres@dumasmining.com,T +52 614 414 5504  ,F +52 614 414 5504,D:\Practicante\Desktop\Imagenes Contratos\12_Logo.jpg,0
13,"TRES GENERACIONES DE MINERIA, S.A.P.I DE C.V.",SENDERO DE LA GRANADA. ,2,,MILENIO III.,,MEXICO.,QUERETARO.,QRO.,Ing. Oscar Roberto Beltran Gastelum.,,obeltran@tgmineria.com,sbeltran@tgmineria.com,4421982244,4421612858,,0
14,"MINSTEON, S.A. DE C.V.",CALLE SIERRA PEDERNALES. ,10400,,SIERRA AZUL.,,MEXICO.,CHIHUAHUA.,CHI.,Ing. Sergio Armando Corral.,6141763897,minsteon@gmail.com,sergio.corral@minsteon.com ,6142971500,,D:\Practicante\Desktop\Imagenes Contratos\14_Logo.jpg,0
15,"CONSTRUCTORA MINERA VM, S.A. DE C.V.",CALLE BUROCRATAS.,118,,BUROCRATAS.,,MEXICO.,GUANAJUATO,IRAPUATO.,Ing. Alejandro Villagómez.,473 690 44 16,alejandro.villagomez@xinaconsa.mx,janoxvigu@hotmail.com,,,,0
16,"PROACON MEXICO, S.A. DE C.V.",CALLE RIO MISSISSIPPI.,49,,CUAUHTEMOC.,,MEXICO.,CDMX.,DEL. CUAUHTEMOC.,Alfonso Maria de Ligorio Gutierrez Duarte.,558 055 86 31,alfonso.gutierrez@grupoaldesa.com.mx,josecarlos.arevalo@grupoaldesa.com.mx,555 533 04 80 EXT. 373,55 45 54 6374,D:\Practicante\Desktop\Imagenes Contratos\16_Logo.jpg,0
17,"CONSTRUCCION MINERA DE GUANAJUATO, S.A. DE C.V.",CALLE ARTURO PRECIADO.,37B,,CUPULAS I.,,MEXICO.,GUANAJUATO,GTO.,Ing. Hecto Mena.,,joelmtz07@hotmail.com,cmgguanajuato@hotmail.com,01 473 129 00 06,,,0
18,"TECMIN SERVICIOS, S.A. DE C.V. ",AV. PLATEROS.,104,,NO ESPECIFICADA.,,MEXICO.,ZACATECAS.,FRESNILLO.,Ing. Daniel Nofrietta.,(614) 178 8658,tecmin@prodigy.net.mx,marcos.loya@tecmin.com.mx,493 935 8000,(614) 541 7337,,0
19,"G4 DRILING MEXICO, S.A. DE C.V.",PRIV. YUKON.,13,,LAS LOMAS.,,MEXICO.,SONORA.,HERMOSILLO.,Ing. Levis Aube.,662 344 06 83,laube@g4drilling.com,rdaigle@g4drilling.com,01 662 251 06 27,,,0
20,"GAMHERSA DE MEXICO, S.A. DE C.V.",CALLE JUAN GUTEMBERG NTE.,961,,CENTRO.,,MEXICO.,COAHUILA.,TORREON.,Ing. Jesus Rodrigo Gamez.,045 871 21 70,enriquegamez@gamhersa.com,gamhersa@hotmail.com,01 871 717 19 36,01 871 713 42 97 ,,0
21,HERNANDEZ RAMIREZ SAMUEL ,CALLE DESTILADO.,141,,LOS AGAVES.,,MEXICO.,COAHUILA.,TORREON.,Ing. Samuel Hernandez Martinez.,871 513 83 83 ,sl.shermar@hotmail.com,,871 159 00 96,871 455 90 32,,0
22,GAMEZ RODRIGUEZ ELVIRA,AV. PONCIANO ARRIAGA. ,832,,BUENOS AIRES.,,MEXICO.,SAN LUIS POTOSÍ.,S.L.P.,Ing. Pedro Rosales.,444 261 52 03,rpedro62@outlook.com ,r_pedro62@yahoo.com.mx ,,,,0
23,DAGAV CONSTRUCCIONES Y SERVICIOS ELECTRICOS S.A. DE C.V.,CALLE 69A.,7202,,AEROPUERTO.,,MEXICO.,CHIHUAHUA.,CHI.,Guadalupe Vicente Dorado Saenz.,627 1 12 22 28,vicentedorado1@hotmail.com ,dgarciavillalobos123@hotmail.com ,645-109-18-92,,,0
24,"TECNICA DIELECTRICA DE CHIHUAHUA, S.A. DE C.V.",CALLE TEOFILO BORUNDA.,2711,,SANTO NIÑO.,31320,MEXICO.,CHIHUAHUA.,CHI.,Luis Angel Algara Lorenzana.,,chihuahua@tecnicadielectrica.com.mx ,juarez@tecnicadielectrica.com.mx ,669 985 20 00,669 981 12 00,,0
25,"INGENIO RX SERVICIOS E INGENIERIA, S. DE R.L. DE C.V.",CALLE MIGUEL SERVET.,1301,,LOS OLMOS NORTE JUAREZ.,32310,MEXICO.,CHIHUAHUA.,CIUDAD JUAREZ.,Ing. Pedro Martínez Aldaz.,(493) 157 3696,pedro.martinez@ingeniorx.com,jorge.rosales@control-ok.net,915.225.5977 El Paso Tx.,656.289.2956 Juarez MX.,,0
26,"POTOSINA DE PROYECTOS ELECTRICOS, S.A. DE C.V.   ",BALTAZAR ECHAVE ONORIO.,199-A,,RICARDO B. ANAYA. ,,MEXICO.,SAN LUIS POTOSÍ.,S.L.P.,Ing. Marcelino G. Mata Morales,,proyelsa@yahoo.com.mx,proyelsa01@yahoo.com.mx,(01-444) 163-00-00,,D:\Practicante\Desktop\Imagenes Contratos\26_Logo.jpg,0
27,"GUTIERREZ ALCANTARA INGENIEROS CONSTRUCTORES, S.A. DE C.V.",MANUEL GUTIERREZ NAJERA.,148,,LA ANGOSTURA.,78117,MEXICO.,SAN LUIS POTOSÍ.,S.L.P.,Jose Eugenio Gutierrez Vazquez.,,gaicsa@hotmail.com,eugken00@hotmail.com,01 444 823 79 37,01 444 823 09 63,D:\Practicante\Desktop\Imagenes Contratos\27_Logo.jpg,0
28,"DELTA AUTOMATIZACIONES, S.A. DE C.V.",CALLE JOSE MARIA YAÑEZ.,104,,COL. SAN BENITO.,,MEXICO.,SONORA.,HERMOSILLO.,Alex Alberto Dorado.,,alex.dorado@iipsa.com,natanael.flores@promatico.com,01 662 251 03 21,01 662 191 08 86,D:\Practicante\Desktop\Imagenes Contratos\28_Logo.jpg,0
29,"E&P MINING, S.A. DE C.V.",BLVD NAVARRETE.,217,,VILLA SATELITE.,,MEXICO.,SONORA.,HERMOSILLO.,Ing. Sergio Zozaya Búrquez.,662 317 93 53,szozaya@ep-mining.com,lpegueros@ep-mining.com,01 662 301 85 32,,D:\Practicante\Desktop\Imagenes Contratos\29_Logo.jpg,0
30,"SINCI GDL, S. DE R.L. DE C.V.",CALLE JAIME NUNO.,471,,VILLASEÑOR.,,MEXICO.,JALISCO.,GDL.,Salvador Navarro.,,snavarro@sinci.com,ventas_gdl@sinci.com,01 333 615 36 18, 01 333 615 64 95,D:\Practicante\Desktop\Imagenes Contratos\30_Logo.jpg,0
31,"GEOFISICA TMC, S.A. DE C.V. ",CALLE HAMM.,40,,PALOS PRIETOS.,,MEXICO.,SINALOA.,MAZATLAN.,Gabriel Mc Crory.,418 572-7204 ,gabriel@geotmc.com,humberto@hacontadores.mx,01 669 112 04 03,,,0
32,GEOPROSPECT. S.A. DE C.V.,CARRETERA A LA CONCHA.,S/N,,SAN FELIPE.,67714,MEXICO.,NUEVO LEON.,LINARES.,Ing. Juan Daniel Marin Solis.,045 821 119 20 26,danielms01@prodigy.net.mx,,821 214 59 56,,D:\Practicante\Desktop\Imagenes Contratos\32_Logo.jpg,0
33,"FINDORE, S.A. DE C.V. ",CALLE RIO GRIJALVA.,175,,BELLAS LOMAS.,,MEXICO.,SAN LUIS POTOSÍ.,S.L.P.,Ing. Carlos Cham.,044 (444) 165 8026,carloschamdo@hotmail.com,,01 444 841 08 18,,,0
34,INGENIERIA E INSPECCION PND SA DE CV,CALLE 1RA CDA. MACLOVIO HERRERA MZ.,1 LT.19,,SANTIAGO ZAPOTITLAN.,,MEXICO.,CDMX.,TLAHUAC.,Orlando Jimenez Guzman.,,orlando.jimenez@kontroll.mx,ventas@kontroll.mx,01 552 608 73 71,,D:\Practicante\Desktop\Imagenes Contratos\34_Logo.jpg,0
35,"KNIGHT PIESOLD, LTD",PENDER ST  ,W 1400 - 750,,,,CANADA.,"VANCOUVER, BC",,Lori Sennett.,direct: +1 705 476 2165 ext 312 ,lsennett@knightpiesold.com ,,1 705 476 2165 ,,D:\Practicante\Desktop\Imagenes Contratos\35_Logo.jpg,0
36,"CASINO CLUB DE LEONES, S.EN C.POR A.",PARQUE J H SCHEZ,,,BUROCRATA ESTADO.,,MEXICO.,SAN LUIS POTOSÍ.,S.L.P.,Manuel Escobedo Montalvo.,,casinoclubdeleones@hotmail.com,,444 813 06 06,,,0
37,"SERVICIOS Y DESARROLLOS DE FRESNILLO, S.A. DE C.V.",PRIV. LOPEZ MATEOS.,401,,MARAVILLAS.,,MEXICO.,ZACATECAS.,FRESNILLO.,Ing. Amado Cortés Medina.,493 103 0952,mayolo_007@hotmail.com,contabilidad.sdf@hotmail.com,493 93 3 52 65,,D:\Practicante\Desktop\Imagenes Contratos\37_Logo.jpg,0
38,"GEODRILL, S.A. DE C.V.",CARR. SN. JUAN DEL RIO-TEQUISQUIAPAN.,,,,,MEXICO.,QUERETARO.,SAN JUAN DEL RIO.,Leticia botello.,427 133 0266,leticia.botello@crubher.com,,427 274 93 03,427 274 9425,D:\Practicante\Desktop\Imagenes Contratos\38_Logo.jpg,0
39,"SERVICIOS DE CONSULTORIA Y VERIFICACION AMBIENTAL, S.A. DE C.V.",CALLE RAMON NOVARO.,65,,JORGE NEGRETE.,,MEXICO.,CDMX.,GUSTAVO A. MADERO.,Eduardo Quintero Bautista.,553 136 65 05,eduardo.quintero@secovam.com,,555 389 05 82,,D:\Practicante\Desktop\Imagenes Contratos\39_Logo.jpg,0
40,"ECCO SERVICIOS DE PERSONAL, S.A. DE C.V.",CALLE MONTECITO PISO 10.,38,,NAPOLES,,MEXICO.,CDMX.,BENITO JUAREZ.,Tania Elena Guerrero Lomelí (contacto S.L.P.),(444) 251 4916,tania.guerrero@adecco.com ,atencionaclientes@adecco.com ,(444) 824 5472 Ext. 116,,D:\Practicante\Desktop\Imagenes Contratos\40_Logo.jpg,0
41,"LABOR MX, S.C.",BLVD. ASIS. ,101,,LOMA VERDE.,,MEXICO.,GUANAJUATO,LEON.,Ing. Dámaris Malagón Robles.,477 255 1793,damarism@Labormx.com,gerencia.mty@labormx.com ,(477)  763 1156 ext. [106],,D:\Practicante\Desktop\Imagenes Contratos\41_Logo.jpg,0
42,"AHQ SERVICIOS DE PERSONAL, S.C.",AV. DR. SALVADOR NAVA MARTINEZ. ,575,,JARDIN.,,MEXICO.,SAN LUIS POTOSÍ.,S.L.P.,Lic. Leopoldo Gerardo Segura Murayama.,045 444 179 96 14,dnnegocios@ahq.com.mx ,ahq_monica@prodigy.net.mx ,01 444 811 21 72,TEL. 01 444 817 89 13,D:\Practicante\Desktop\Imagenes Contratos\42_Logo.jpg,0
43,"SECONSA DIVISIÓN OUTSOURCING, S.A. DE C.V. ",AV. LAZARO CARDENAS. ,2470,,VILLAS DE SAN AGUSTIN.,,MEXICO.,NUEVO LEON.,SAN PEDRO GARZA.,Victor Manuel Lopez Ramos,8110-449717,victor.lopez@sdo.com.mx ,ramiro.villarreal@seguridadconfiable.com ,01 (861) 612 68 68,01 811 522 50 40,D:\Practicante\Desktop\Imagenes Contratos\43_Logo.jpg,0
44,"STAFFING PEOPLE, S.A. DE C.V.",BLVD. ZARAGOZA. ,413,, MANUEL VALDEZ.,,MEXICO.,CHIHUAHUA.,JUAREZ.,Ing. Francisco J. González R.,(656) 191 4648,francisco@staffing-people.com,michel@staffing-people.com,(656)  3 78 00 55.,(656)  1 42 65 95.,D:\Practicante\Desktop\Imagenes Contratos\44_Logo.jpg,0
45,"ADIT ATOMO, S.A. DE C.V.",AV. SAN FERNANDO. ,502,,TLALPAN CENTRO,,MEXICO.,CDMX.,TLALPAN.,Lic. Sonia Fuentes Corona.,,sonia.fuentes@adsourcing.com.mx,christian.alexander@adsourcing.com.mx,01 555 254 96 40 ext. 1117,01 555 254 96 40 ext. 1127,D:\Practicante\Desktop\Imagenes Contratos\45_Logo.jpg,0
46,EXCELENCIA CONSULTORES EN RECURSOS HUMANOS S.A. DE C.V.,CALLE LITOSFERA. ,1,,EL TESORO,,MEXICO.,CDMX.,TULTITLAN.,Vicente Ortiz.,,ortiz@excelencia.com.mx,alopez@bhrewmx.com.mx ,01 555 262 18 80,01 555 447 74 00,D:\Practicante\Desktop\Imagenes Contratos\46_Logo.jpg,0
47,"SOLUCIONES INTEGRALES PARA EL RECURSO HUMANO, S. DE R.L DE C.V. (GT SERVICES)",PERIFERICO NORTE  LOCAL B-2,638-A,,EL CHOYAL. ,83130,MEXICO.,SONORA.,HERMOSILLO.,Victor Manuel Dominguez Maytorena.,662 4 27 99 11,victor_dominguez@gtservice.mx,arturo_gomez@gtservice.mx,(662) 216 1139 ,01 686 568 05 07,D:\Practicante\Desktop\Imagenes Contratos\47_Logo.jpg,0
48,"GLOBAL GOG GROUP, S.A. DE C.V.",CALLE SANTA ROSALIA. ,113,,DEL VALLE,,MEXICO.,CDMX.,BENITO JUAREZ.,Lic. Magdalena Roldan.,,mroldan@gog.com.mx,info@gog.com.mx,01 555 559 11 61 EXT. 106,,,0
49,"MANAGEMENT DEVELOPING CENTER, S.A. DE C.V.",CALLE PEDRO AMPUDIA. ,22,,CHAPULTEPEC NORTE,,MEXICO.,MICHOACAN.,MORELIA.,Myrna Cejudo Orozco.,4 42 45 83 56 ,myrna.cejudo@mdcempleos.com,arturo.guadarrama@grupomdc.com,55 52 14 32 71,44 41 29 20 00,D:\Practicante\Desktop\Imagenes Contratos\49_Logo.jpg,0
50,"SERVICIOS Y MANTENIMIENTO BEARNAUD, S.A. DE C.V. ",CALLE FUENTES DEL PUERTO.,125,,BALCONES DEL VALLE.,,MEXICO.,SAN LUIS POTOSÍ.,S.L.P.,Emmanuel Bear Sandoval.,044 (444) 141 87 91,emmanuel_bear@hotmail.com,,01 (444) 815 78 24,01 444 820 11 90,,0
51,"INGENIERIA Y ESTUDIOS AMBIENTALES, S.A.DE C.V. ",CAMINO A EXHACIENDA MENCHACA.,285,,,,MEXICO.,QUERETARO.,QRO.,Q.F.B. Irma Retana Caballero., 442 359 24 52,inesa1@prodigy.net.mx,iretana@inesa.com.mx,(442) 213 03 12,(442) 223 58 78,D:\Practicante\Desktop\Imagenes Contratos\51_Logo.jpg,0
52,"MICROECOL, S.A. DE C.V.",VIADUCTO PIEDAD PISO 2,230,,MAGDALENA MIXHUCA.,,MEXICO.,CDMX.,VENUSTRIANO CARRANZA.,Ing. Adriana Velazquez.,553 773 00 29,la.velazquez@microanalisis.com,ingenierodeproyecto_me@microanalisis.com,555 768 77 44 EXT. 1001,,D:\Practicante\Desktop\Imagenes Contratos\52_Logo.jpg,0
53,"KIMPEN, S.A. DE C.V. ",CALLE 21.,381,,MELCHOR OCAMPO II.,,MEXICO.,YUCATAN.,MERIDA. ,Ing. Oscar Constantino Salazar.,,capetillo@bepensa.com ,osalazar@bepensa.com,444 824 50 68 EXT. 7424,,D:\Practicante\Desktop\Imagenes Contratos\53_Logo.jpg,0
54,EHS LABS DE MEXICO S.A. DE C.V.,CALLE MATAMOROS PTE.,1441,,MARIA LUISA.,,MEXICO.,NUEVO LEON.,MONTERREY.,Ma. Elena Blanco Olvera. ,,adm@ehslabs.com,johanal@ehslabs.com,(81) 80476480 ,,D:\Practicante\Desktop\Imagenes Contratos\54_Logo.jpg,0
55,"MAQUINADOS Y SERVICIOS CICLOPE, S.A. DE C.V. ",XICOTENCATL. ,1591,,SAN JUAN DE GUADALUPE,,MEXICO.,SAN LUIS POTOSÍ.,S.L.P.,Ing. Adán Cervantes Hernandez.,4448490902, mscsa35@yahoo.com.mx,ventas@ciclopeslp.com,(444) 811-53-89,,D:\Practicante\Desktop\Imagenes Contratos\55_Logo.jpg,0
56,CERVANTES HERNANDEZ MARTIN DE JESUS ,AV. HIMNO NACIONAL. ,4670,,HIMNO NACIONAL.,,MEXICO.,SAN LUIS POTOSÍ.,S.L.P.,Ing. Martin De Jesus Cervantes Hernandez.,045 (444) 127 87 28,martin_cervantes97@hotmail.com,,01 (444) 216 40 32,,,0
57,RAMIREZ REYNA ERIC ,CALLE ECUESTRE VISTA REAL. ,122,,,,MEXICO.,SAN LUIS POTOSÍ.,S.L.P.,Eric Ramirez Reyna., 444-3-29-51-61,ericramirezreyna@gmail.com,,,,,0
58,"CLIMACAR CLIMAS Y ACCESORIOS CARVAJAL, S.A. DE C.V.",PROL. CALZ. GUADALUPE.,900,,TEPEYAC.,,MEXICO.,SAN LUIS POTOSÍ.,S.L.P.,Griselda Martínez.,,operacion.tiendas@climacar.com.mx,ventas2@climacar.com.mx,01 (444) 7993296,,,0
59,"GRUPO RAPICE, S.A. DE C.V.",AV. INDUSTRIAS. ,3850,,FRACC. ESPAÑOL.,,MEXICO.,SAN LUIS POTOSÍ.,S.L.P.,Ing. Miguel Angel Torres.,(42) 30-85-40,miguel.torres.proclima@hotmail.com,climas.slp@gmail.com, 112-15-03 , 01 (444) 1121503,,0
60,"HIGHT QUALITY PRODUCTS AND SERVICES, S.A. DE C.V.",ABUNDIO GOMEZ.,7,,GRANJAS VALLE DE GDLP.,,MEXICO.,CDMX.,ECATEPEC DE MORELOS.,Orlando Navarrete.,,orlando.navarrete@hqps.com.mx,lherrera@hqps.com.mx,01 555 830 42 02 ,01 555 830 26 44,,0
61,"CAMPOS HERNANDEZ CONTRATISTAS MINEROS, S.A. DE C.V.",CALLE A LA BLOQUERA.,83,,,,MEXICO.,GUANAJUATO,GTO.,Eduardo Hernandez.,473 11710 75,ch.planeacion@gmail.com,fdo.campos.lr@gmail.com,01 473 689 00 12, 473 114 43 04 ,D:\Practicante\Desktop\Imagenes Contratos\61_Logo.jpg,0
62,"LASEC TELECOMUNICACIONES, S.A.P.I. DE C.V.",1ª PRIVADA SANTA ROSA.,7,,FRACC. LOMAS DEL CONVENTO.,,MEXICO.,ZACATECAS.,GUADALUPE.,Deici Zapata Raudales. ,,deici_zapata@lasec.com.mx,ariana_martinez@lasec.com.mx,(01-492) 92 41070,01 492 922 41 34,D:\Practicante\Desktop\Imagenes Contratos\62_Logo.jpg,0
63,BENAVENTE LEIJA JAVIER,PASEO DEL SEMILLERO.,135,,LOS SILOS,,MEXICO.,SAN LUIS POTOSÍ.,S.L.P.,Ing. Javier Benavente Leija .,,jbenaventeleija@hotmail.com,,01 444 830 48 27,,,0
65,"ALS CHEMEX DE MEXICO, S.A. DE C.V. ",BLVD. IGNACIO SALAZAR ,688,, VIÑEDOS.,,MEXICO.,SONORA. ,HERMOSILLO.,Milka P. Galindo.,,Milka.Galindo@alsglobal.com,steve.armstrong@alsglobal.com,T +1 662 2184403,01 662 218 44 87,D:\Practicante\Desktop\Imagenes Contratos\65_Logo.jpg,0
66,"GEOQUIMICA DE MEXICO, S.A.",AV. DE LAS INDUSTRIAS. ,7303-2,,NOMBRE DE DIOS.,,MEXICO.,CHIHUAHUA.,CHI.,Victor Manuel Gomez Fregoso.,,geoquimicademexico@prodigy.net.mx,,01 614 417 24 40,01 614 417 00 44,,0
67,"SGS DE MEXICO, S.A. DE C.V.",ANTIMONIO.,121,,CIUDAD INDUSTRIAL.,,MEXICO.,DURANGO.,DGO.,Julio César Bretón Quiroz.,753 128 93 81, julio.breton@sgs.com,jazmin.reyes@sgs.com,618 814 09 32 ext. 1917,618 8140932 Ext 1920,,0
68,"SONORA SAMPLE PREPARATIONS, S.A. DE C.V. ",,,,,,,,,LAE Martha Karina Torres León.,,ssamprep@prodigy.net.mx,,,,,0
69,"CONSTRUCTORA NOJIMA, S.A. DE C.V.",RÍO OCORONI.,212,,FRACC. BRISAS DEL MAR.,82010,MEXICO.,SINALOA.,MAZATLAN.,Ing. Juan Rodríguez Morales.,,nojimasa@prodigy.net.mx,,01 669 981 16 45,01 669 982 02 86,,0
70,"CONSTRUCCIONES FUERTE MAYO, S.A. DE C.V.",CALLE BENJAMIN HILL PTE. ,1002,, SKALLY.,,MEXICO.,SINALOA.,AHOME.,Arq. Raul Ruiz Guerrero. ,6681  12 63 31,fuerte_mayo@hotmail.com,GERENCIA_FUERTEMAYO@OUTLOOK.ES,668 812 88 86,,,0
71,"ACTLABS MEXICO, S.A. DE C.V.",CANTERA.,3200,,CONJUNTO INDUSTRIAL DE LA PLATA,,MEXICO.,ZACATECAS.,GUADALUPE.,Jesús Salazar.,,JesusSalazar@Actlabs.com,SoniaAlcala@Actlabs.com,52+492-998-10-91,52+492-998-10-92,,0
72,ESPARZA FLORES CESAR HUMBERTO,AV. PASEO DE LOS INSURGENTES.,304,,JARDINES DEL MORAL.,,MEXICO.,GUANAJUATO.,LEON.,Ing. César Humberto Esparza.,,cesaresjr@hotmail.com,lulu_pop01@hotmail.com,(433) 93 5 11 17 , 433 935 11 21  ,D:\Practicante\Desktop\Imagenes Contratos\72_Logo.jpg,0
73,CONTRERAS FIGUEROA FERNANDO ADOLFO,CALLE MONTE AMARILLO.,4122,, QUINTAS CAROLINAS.,,MEXICO.,CHIHUAHUA.,CHI.,Fernando Adolfo Contreras Figueroa.,614 247 61 28,ferconfi@hotmail.com,,01 614 411 75 95,,,0
74,CARREON GARCIA OLGA LYDIA,VENUSTIANO CARRANZA.,109,,CENTRO.,,MEXICO.,SAN LUIS POTOSI.,CHARCAS.,Olga Lydia Carreon.,486 104 26 00,carreolga28@outlook.com,lagrilla.net@hotmail.com,01 486 852 01 04,,,0
75,RIVERA BRAVO JOVITA ,CALLE FUSIÓN.,1313,,PARQUE DE FUNDIDORES.,,MEXICO.,SAN LUIS POTOSI.,S.L.P.,C.P. Sonia Cruz Ruiz.,,sonia.cruz@maesaslp.com,jovita.rivera@maesaslp.com,(444) 166-76-20 Ext. 103,01 444 815 33 55,,0
76,DESARROLLOS ROD S.A. DE C.V.,BLVD. FRANCISCO VILLA.,10104,,CIUDAD INDUSTRIAL.,,MEXICO.,DURANGO.,DGO.,Ing. Monica Carrillo Salazar.,,mcarrillo@rod.com.mx,asoto@rod.com.mx,01 618 814 12 12 EXT. 113,,D:\Practicante\Desktop\Imagenes Contratos\76_Logo.jpg,0
77,OCHOA TOVAR GABRIEL,CALLE LAS ARBOLEDAS. ,257,,VIÑEDOS.,,MEXICO.,DURANGO.,DGO.,Gabriel Ochoa Tovar.,045 331 828 23 01 ,concreto.lanzado.ochoa@gmail.com,otg_2462@hotmail.com, 01 331 302 91 17,,,0
78,"MANTENIMIENTO E INSTALACIONES MINERAS, S.C. ",CALLE UNIVERSIDAD DE SINALOA. ,9708,,RESIDENCIAL UNIVERSIDAD.,,MEXICO.,CHIHUAHUA.,CHI.,Ignacio Becerril Villalon.,(614) 111 6379,ignaciobecerril@meim.com.mx,noelbecerril@meim.com.mx, 614 498 98 31,,D:\Practicante\Desktop\Imagenes Contratos\78_Logo.jpg,0
79,"ADRA INGENIERIA, S.A. DE C.V.",CALLE MONTE NEGRO. ,102,,LOS PARAISOS.,,MEXICO.,GUANAJUATO.,LEON.,Ing. Raul Bracamontes Jimenez.,477 577 01 77,cotizaciones@adra.com.mx,raulb@adra.com.mx ,477 212 28 58,477 212 27 97 ,D:\Practicante\Desktop\Imagenes Contratos\79_Logo.jpg,0
80,"MINERA MEXGEO, S.A DE C.V. ",BOULEVARD INDEPENDENCIA ORTE. PTA BAJA C. ,2120,,LA ESTRELLA,,MEXICO.,COAHUILA.,TORREON.,Lic. Fernando A. Olavide.,045 871 727 71 55,folavide@mex-geo.com,licitaciones@mex-geo.com,52 (871) 747 9188,,D:\Practicante\Desktop\Imagenes Contratos\80_Logo.jpg,0
81,"TUNELES Y OBRAS MINERAS, S.A. DE C.V.",AV. PROLONGACION TECNOLOGICO., 950-B,,SAN PABLO.,,MEXICO.,QUERETARO.,QRO.,L.A.E. Daniel Rueda Hernández.,442-146-10-01,ruedaram@prodigy.net.mx,ruedaram@outlook.com, 442- 218-65-11    , 442-218-97-21     ,D:\Practicante\Desktop\Imagenes Contratos\81_Logo.jpg,0
